Date,Temperature,Humidity,Irradiance,Potential,WindSpeed,location,year,month,day,dayofweek,season
1950-01-01,20.3,73.536,637.5,4.3901,0.2375,Bambili,1950,1,1,6,Winter
1950-01-02,20.352,73.225,837.5,4.2901,0.2675,Bambili,1950,1,2,0,Winter
1950-01-03,20.654,75.678,791.67,4.0553,0.47449,Bambili,1950,1,3,1,Winter
1950-01-04,21.388,73.61,850.0,4.3541,0.44123,Bambili,1950,1,4,2,Winter
1950-01-05,21.435,74.99,841.67,4.3115,0.35958,Bambili,1950,1,5,3,Winter
1950-01-06,20.851,82.928,745.83,3.8206,0.095097,Bambili,1950,1,6,4,Winter
1950-01-07,21.302,82.127,745.83,3.8206,0.62079,Bambili,1950,1,7,5,Winter
1950-01-08,22.357,72.138,875.0,4.4822,0.68988,Bambili,1950,1,8,6,Winter
1950-01-09,21.651,68.839,883.33,4.5249,0.50493,Bambili,1950,1,9,0,Winter
1950-01-10,20.629,74.242,862.5,4.4182,0.88512,Bambili,1950,1,10,1,Winter
1950-01-11,20.724,72.669,875.0,4.4822,0.92457,Bambili,1950,1,11,2,Winter
1950-01-12,21.007,73.951,879.17,4.5036,0.80799,Bambili,1950,1,12,3,Winter
1950-01-13,21.034,76.301,837.5,4.2901,0.84626,Bambili,1950,1,13,4,Winter
1950-01-14,20.792,75.842,833.33,4.2688,0.78848,Bambili,1950,1,14,5,Winter
1950-01-15,20.057,77.029,837.5,4.2901,0.26739,Bambili,1950,1,15,6,Winter
1950-01-16,19.765,72.251,895.83,4.5889,0.34885,Bambili,1950,1,16,0,Winter
1950-01-17,20.046,70.051,904.17,4.6316,0.43693,Bambili,1950,1,17,1,Winter
1950-01-18,20.974,70.186,900.0,4.6103,0.71528,Bambili,1950,1,18,2,Winter
1950-01-19,20.918,70.874,900.0,4.6103,0.36946,Bambili,1950,1,19,3,Winter
1950-01-20,21.416,70.38,908.33,4.653,0.51382,Bambili,1950,1,20,4,Winter
1950-01-21,21.578,70.05,912.5,4.6743,0.47364,Bambili,1950,1,21,5,Winter
1950-01-22,21.359,73.329,895.83,4.5889,0.6664,Bambili,1950,1,22,6,Winter
1950-01-23,21.403,69.274,908.33,4.653,0.46417,Bambili,1950,1,23,0,Winter
1950-01-24,21.508,69.114,891.67,4.5676,0.68754,Bambili,1950,1,24,1,Winter
