Date,Temperature,Humidity,Irradiance,Potential,WindSpeed,location,year,month,day,dayofweek,season
1950-01-01,19.575,74.585,854.33,4.388,0.19861,Bamenda,1950,1,1,6,Winter
1950-01-02,19.875,74.985,833.33,4.2688,0.19761,Bamenda,1950,1,2,0,Winter
1950-01-03,20.137,78.083,779.17,3.9913,0.53274,Bamenda,1950,1,3,1,Winter
1950-01-04,21.037,74.749,841.67,4.3115,0.32011,Bamenda,1950,1,4,2,Winter
1950-01-05,21.013,76.081,825.0,4.2261,0.12056,Bamenda,1950,1,5,3,Winter
1950-01-06,20.136,84.681,733.33,3.7565,0.25596,Bamenda,1950,1,6,4,Winter
1950-01-07,20.628,83.854,733.33,3.7565,0.66087,Bamenda,1950,1,7,5,Winter
1950-01-08,21.87,72.499,875.0,4.4822,0.69765,Bamenda,1950,1,8,6,Winter
1950-01-09,21.253,69.591,883.33,4.5249,0.58897,Bamenda,1950,1,9,0,Winter
1950-01-10,19.841,76.65,854.17,4.3755,0.99063,Bamenda,1950,1,10,1,Winter
1950-01-11,19.935,74.738,870.83,4.4609,0.99496,Bamenda,1950,1,11,2,Winter
1950-01-12,20.391,75.498,879.17,4.5036,0.84646,Bamenda,1950,1,12,3,Winter
1950-01-13,20.273,78.686,833.33,4.2688,0.89572,Bamenda,1950,1,13,4,Winter
1950-01-14,20.025,78.204,829.17,4.2474,0.85129,Bamenda,1950,1,14,5,Winter
1950-01-15,19.549,77.737,841.67,4.3115,0.36794,Bamenda,1950,1,15,6,Winter
1950-01-16,19.168,73.206,895.83,4.5889,0.45704,Bamenda,1950,1,16,0,Winter
1950-01-17,19.52,70.348,904.17,4.6316,0.38705,Bamenda,1950,1,17,1,Winter
1950-01-18,20.48,70.518,900.0,4.6103,0.55534,Bamenda,1950,1,18,2,Winter
1950-01-19,20.398,71.995,895.83,4.5889,0.20981,Bamenda,1950,1,19,3,Winter
1950-01-20,21.07,70.815,908.33,4.653,0.49719,Bamenda,1950,1,20,4,Winter
1950-01-21,21.308,70.543,912.5,4.6743,0.37755,Bamenda,1950,1,21,5,Winter
1950-01-22,20.883,75.336,891.67,4.5676,0.74539,Bamenda,1950,1,22,6,Winter
1950-01-23,20.931,70.15,900.0,4.6103,0.5482,Bamenda,1950,1,23,0,Winter
1950-01-24,21.07,70.76,895.83,4.5889,0.66889,Bamenda,1950,1,24,1,Winter
1950-01-25,21.606,69.206,879.17,4.5036,0.42123,Bamenda,1950,1,25,2,Winter
1950-01-26,20.771,81.508,800.0,4.098,0.70124,Bamenda,1950,1,26,3,Winter
