Date,Temperature,Humidity,Irradiance,Potential,WindSpeed,location,year,month,day,dayofweek,season
1950-01-01,22.384,77.513,805.17,4.1294,0.12452,Boufassam,1950,1,1,6,Winter
1950-01-02,22.184,76.513,804.17,4.1194,0.13452,Boufassam,1950,1,2,0,Winter
1950-01-03,22.724,78.124,779.17,3.9913,0.20164,Boufassam,1950,1,3,1,Winter
1950-01-04,23.304,77.783,829.17,4.2474,0.41398,Boufassam,1950,1,4,2,Winter
1950-01-05,23.22,78.819,816.67,4.1834,0.43339,Boufassam,1950,1,5,3,Winter
1950-01-06,22.369,85.388,708.33,3.6285,0.53087,Boufassam,1950,1,6,4,Winter
1950-01-07,23.715,81.733,762.5,3.9059,0.56524,Boufassam,1950,1,7,5,Winter
1950-01-08,24.511,73.646,879.17,4.5036,0.80262,Boufassam,1950,1,8,6,Winter
1950-01-09,23.689,72.421,883.33,4.5249,0.18113,Boufassam,1950,1,9,0,Winter
1950-01-10,22.658,80.397,850.0,4.3541,0.60545,Boufassam,1950,1,10,1,Winter
1950-01-11,22.908,76.383,858.33,4.3968,0.54057,Boufassam,1950,1,11,2,Winter
1950-01-12,23.133,77.904,854.17,4.3755,0.52992,Boufassam,1950,1,12,3,Winter
1950-01-13,22.942,79.767,779.17,3.9913,0.45489,Boufassam,1950,1,13,4,Winter
1950-01-14,22.875,79.366,833.33,4.2688,0.33355,Boufassam,1950,1,14,5,Winter
1950-01-15,22.141,83.947,816.67,4.1834,0.27765,Boufassam,1950,1,15,6,Winter
1950-01-16,22.049,79.029,883.33,4.5249,0.37879,Boufassam,1950,1,16,0,Winter
1950-01-17,22.74,69.231,908.33,4.653,0.7233,Boufassam,1950,1,17,1,Winter
1950-01-18,23.235,70.215,904.17,4.6316,0.76953,Boufassam,1950,1,18,2,Winter
1950-01-19,22.913,74.553,887.5,4.5462,0.31974,Boufassam,1950,1,19,3,Winter
1950-01-20,23.577,73.095,916.67,4.6957,0.49898,Boufassam,1950,1,20,4,Winter
1950-01-21,23.783,73.047,916.67,4.6957,0.4771,Boufassam,1950,1,21,5,Winter
1950-01-22,23.727,75.588,883.33,4.5249,0.26587,Boufassam,1950,1,22,6,Winter
1950-01-23,23.607,72.602,895.83,4.5889,0.11021,Boufassam,1950,1,23,0,Winter
1950-01-24,23.714,70.548,870.83,4.4609,0.5496,Boufassam,1950,1,24,1,Winter
1950-01-25,23.941,71.408,883.33,4.5249,0.30469,Boufassam,1950,1,25,2,Winter
1950-01-26,23.922,80.309,825.0,4.2261,0.28586,Boufassam,1950,1,26,3,Winter
1950-01-27,22.66,86.627,745.83,3.8206,0.56029,Boufassam,1950,1,27,4,Winter
1950-01-28,23.296,82.86,825.0,4.2261,0.13996,Boufassam,1950,1,28,5,Winter
1950-01-29,23.472,78.525,883.33,4.5249,0.98891,Boufassam,1950,1,29,6,Winter
1950-01-30,23.969,75.754,862.5,4.4182,0.72548,Boufassam,1950,1,30,0,Winter
1950-01-31,23.778,79.005,875.0,4.4822,0.218,Boufassam,1950,1,31,1,Winter
1950-02-01,24.211,77.15,900.0,4.6103,0.39231,Boufassam,1950,2,1,2,Winter
