Date,Temperature,Humidity,Irradiance,Potential,WindSpeed,location,year,month,day,dayofweek,season
1950-01-01,24.545,89.632,650.83,3.364,1.5157,Yaounde,1950,1,1,6,Winter
1950-01-02,24.945,88.779,670.83,3.4364,1.8157,Yaounde,1950,1,2,0,Winter
1950-01-03,24.234,91.133,641.67,3.287,2.0908,Yaounde,1950,1,3,1,Winter
1950-01-04,25.402,88.779,687.5,3.5217,1.824,Yaounde,1950,1,4,2,Winter
1950-01-05,25.242,89.361,679.17,3.4791,2.2644,Yaounde,1950,1,5,3,Winter
1950-01-06,24.36,92.079,595.83,3.0522,2.594,Yaounde,1950,1,6,4,Winter
1950-01-07,25.874,88.779,737.5,3.7779,1.6869,Yaounde,1950,1,7,5,Winter
1950-01-08,26.672,88.779,766.67,3.9273,1.3852,Yaounde,1950,1,8,6,Winter
1950-01-09,26.267,88.779,758.33,3.8846,1.982,Yaounde,1950,1,9,0,Winter
1950-01-10,24.367,92.003,608.33,3.1162,2.5346,Yaounde,1950,1,10,1,Winter
1950-01-11,24.692,88.963,675.0,3.4577,2.0302,Yaounde,1950,1,11,2,Winter
1950-01-12,24.88,88.779,683.33,3.5004,2.1576,Yaounde,1950,1,12,3,Winter
1950-01-13,24.44,91.27,587.5,3.0095,2.5109,Yaounde,1950,1,13,4,Winter
1950-01-14,24.507,90.908,612.5,3.1375,1.8261,Yaounde,1950,1,14,5,Winter
1950-01-15,23.731,92.398,566.67,2.9028,1.9922,Yaounde,1950,1,15,6,Winter
1950-01-16,23.381,91.471,575.0,2.9455,1.3979,Yaounde,1950,1,16,0,Winter
1950-01-17,25.316,88.779,845.83,4.3328,0.66141,Yaounde,1950,1,17,1,Winter
1950-01-18,24.987,88.779,775.0,3.97,1.4222,Yaounde,1950,1,18,2,Winter
1950-01-19,25.183,88.779,741.67,3.7992,2.1501,Yaounde,1950,1,19,3,Winter
1950-01-20,25.349,88.779,675.0,3.4577,1.8964,Yaounde,1950,1,20,4,Winter
1950-01-21,25.429,88.779,725.0,3.7138,2.2686,Yaounde,1950,1,21,5,Winter
1950-01-22,25.477,88.779,716.67,3.6711,2.168,Yaounde,1950,1,22,6,Winter
